ciiu,actividad,cou,prefijo,nota
201300,201300 - Fabricación de plásticos y caucho sintético en formas primarias,46,201,sustancias quimicas basicas abonos y plasticos primarios
202100,202100 - Fabricación de plaguicidas y otros productos químicos de uso agropecuario,50,202,otros productos quimicos
202200,"202200 - Fabricación de pinturas, barnices y productos de revestimiento, tintas de imprenta y masillas",47,202200,pinturas y barnices
202300,"202300 - Fabricación de jabones y detergentes, preparados para limpiar, perfumes y preparados de tocador",49,202300,aseo y cosmeticos
202901,202901 - Fabricación de explosivos y productos pirotécnicos,50,202,otros productos quimicos
202909,202909 - Fabricación de otros productos químicos n.c.p.,50,202,otros productos quimicos
203000,203000 - Fabricación de fibras artificiales,46,203,fibras artificiales
210000,"210000 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos",48,210,productos farmaceuticos
221100,221100 - Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho,51,221,productos de caucho
221900,221900 - Fabricación de otros productos de caucho,51,221,productos de caucho
222000,222000 - Fabricación de productos de plástico,52,222,productos de plastico
231001,231001 - Fabricación de vidrio plano,53,231,vidrio y productos de vidrio
231002,231002 - Fabricación de vidrio hueco,53,231,vidrio y productos de vidrio
231003,231003 - Fabricación de fibras de vidrio,53,231,vidrio y productos de vidrio
231009,231009 - Fabricación de productos de vidrio n.c.p.,53,231,vidrio y productos de vidrio
239100,239100 - Fabricación de productos refractarios,55,239,hormigon y otros minerales no metalicos
239200,239200 - Fabricación de materiales de construcción de arcilla,55,239,hormigon y otros minerales no metalicos
239300,239300 - Fabricación de otros productos de porcelana y de cerámica,55,239,hormigon y otros minerales no metalicos
239400,"239400 - Fabricación de cemento, cal y yeso",54,239400,cemento cal y yeso
239500,"239500 - Fabricación de artículos de hormigón, cemento y yeso",55,239,hormigon y otros minerales no metalicos
239600,"239600 - Corte, talla y acabado de la piedra",55,239,hormigon y otros minerales no metalicos
239900,239900 - Fabricación de otros productos minerales no metálicos n.c.p.,55,239,hormigon y otros minerales no metalicos
241000,241000 - Industrias básicas de hierro y acero,56,241,industrias basicas de hierro y acero
242001,242001 - Fabricación de productos primarios de cobre,57,242,metales no ferrosos
242002,242002 - Fabricación de productos primarios de aluminio,57,242,metales no ferrosos
242009,242009 - Fabricación de productos primarios de metales preciosos y de otros metales no ferrosos n.c.p.,57,242,metales no ferrosos
243100,243100 - Fundición de hierro y acero,56,243100,fundicion de hierro y acero
243200,243200 - Fundición de metales no ferrosos,57,243200,fundicion de metales no ferrosos
251100,251100 - Fabricación de productos metálicos para uso estructural,58,25,productos metalicos
251201,251201 - Fabricación de recipientes de metal para gases comprimidos o licuados,58,25,productos metalicos
251209,"251209 - Fabricación de tanques, depósitos y recipientes de metal n.c.p.",58,25,productos metalicos
251300,"251300 - Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",58,25,productos metalicos
252000,252000 - Fabricación de armas y municiones,58,25,productos metalicos
259100,"259100 - Forja, prensado, estampado y laminado de metales; pulvimetalurgia",58,25,productos metalicos
259200,"259200 - Tratamiento y revestimiento de metales, maquinado",58,25,productos metalicos
259300,"259300 - Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",58,25,productos metalicos
259900,259900 - Fabricación de otros productos elaborados de metal n.c.p.,58,25,productos metalicos
261000,261000 - Fabricación de componentes y tableros electrónicos,60,26,informatica electronica y optica
262000,262000 - Fabricación de computadores y equipo periférico,60,26,informatica electronica y optica
263000,263000 - Fabricación de equipo de comunicaciones,60,26,informatica electronica y optica
264000,264000 - Fabricación de aparatos electrónicos de consumo,60,26,informatica electronica y optica
265100,"265100 - Fabricación de equipo de medición, prueba, navegación y control",60,26,informatica electronica y optica
265200,265200 - Fabricación de relojes,60,26,informatica electronica y optica
266000,266000 - Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico,60,26,informatica electronica y optica
267000,267000 - Fabricación de instrumentos ópticos y equipo fotográfico,60,26,informatica electronica y optica
268000,268000 - Fabricación de soportes magnéticos y ópticos,60,26,informatica electronica y optica
271000,"271000 - Fabricación de motores, generadores y transformadores eléctricos, aparatos de distribución y control",60,27,equipo electrico
272000,"272000 - Fabricación de pilas, baterías y acumuladores",60,27,equipo electrico
273100,273100 - Fabricación de cables de fibra óptica,60,27,equipo electrico
273200,273200 - Fabricación de otros hilos y cables eléctricos,60,27,equipo electrico
273300,273300 - Fabricación de dispositivos de cableado,60,27,equipo electrico
274000,274000 - Fabricación de equipo eléctrico de iluminación,60,27,equipo electrico
275000,275000 - Fabricación de aparatos de uso doméstico,60,27,equipo electrico
279000,279000 - Fabricación de otros tipos de equipo eléctrico,60,27,equipo electrico
281100,"281100 - Fabricación de motores y turbinas, excepto para aeronaves, vehículos automotores y motocicletas",59,28,maquinaria de uso general y especial
281200,281200 - Fabricación de equipo de propulsión de fluidos,59,28,maquinaria de uso general y especial
281300,"281300 - Fabricación de otras bombas, compresores, grifos y válvulas",59,28,maquinaria de uso general y especial
281400,"281400 - Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",59,28,maquinaria de uso general y especial
281500,"281500 - Fabricación de hornos, calderas y quemadores",59,28,maquinaria de uso general y especial
281600,281600 - Fabricación de equipo de elevación y manipulación,59,28,maquinaria de uso general y especial
281700,281700 - Fabricación de maquinaria y equipo de oficina (excepto computadores y equipo periférico),59,28,maquinaria de uso general y especial
281800,281800 - Fabricación de herramientas de mano motorizadas,59,28,maquinaria de uso general y especial
281900,281900 - Fabricación de otros tipos de maquinaria de uso general,59,28,maquinaria de uso general y especial
282100,282100 - Fabricación de maquinaria agropecuaria y forestal,59,28,maquinaria de uso general y especial
282200,282200 - Fabricación de maquinaria para la conformación de metales y de máquinas herramienta,59,28,maquinaria de uso general y especial
282300,282300 - Fabricación de maquinaria metalúrgica,59,28,maquinaria de uso general y especial
282400,282400 - Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,59,28,maquinaria de uso general y especial
282500,"282500 - Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",59,28,maquinaria de uso general y especial
282600,"282600 - Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",59,28,maquinaria de uso general y especial
282900,282900 - Fabricación de otros tipos de maquinaria de uso especial,59,28,maquinaria de uso general y especial
291000,291000 - Fabricación de vehículos automotores,61,29,vehiculos automotores
292000,292000 - Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques y semirremolques,61,29,vehiculos automotores
293000,"293000 - Fabricación de partes, piezas y accesorios para vehículos automotores",61,29,vehiculos automotores
301100,"301100 - Construcción de buques, embarcaciones menores y estructuras flotantes",61,30,otro equipo de transporte
301200,301200 - Construcción de embarcaciones de recreo y de deporte,61,30,otro equipo de transporte
302000,302000 - Fabricación de locomotoras y material rodante,61,30,otro equipo de transporte
303000,"303000 - Fabricación de aeronaves, naves espaciales y maquinaria conexa",61,30,otro equipo de transporte
309100,309100 - Fabricación de motocicletas,61,30,otro equipo de transporte
309200,309200 - Fabricación de bicicletas y de sillas de ruedas,61,30,otro equipo de transporte
309900,309900 - Fabricación de otros tipos de equipo de transporte n.c.p.,61,30,otro equipo de transporte
310001,310001 - Fabricación de muebles principalmente de madera,62,310,muebles
310009,"310009 - Fabricación de colchones, fabricación de otros muebles n.c.p.",62,310,muebles
321100,321100 - Fabricación de joyas y artículos conexos,63,32,otras industrias manufactureras
321200,321200 - Fabricación de bisutería y artículos conexos,63,32,otras industrias manufactureras
322000,322000 - Fabricación de instrumentos musicales,63,32,otras industrias manufactureras
323000,323000 - Fabricación de artículos de deporte,63,32,otras industrias manufactureras
324000,324000 - Fabricación de juegos y juguetes,63,32,otras industrias manufactureras
325001,325001 - Actividades de laboratorios dentales,63,32,otras industrias manufactureras
325009,"325009 - Fabricación de instrumentos y materiales médicos, oftalmológicos y odontológicos n.c.p.",63,32,otras industrias manufactureras
329000,329000 - Otras industrias manufactureras n.c.p.,63,32,otras industrias manufactureras
331100,331100 - Reparación de productos elaborados de metal,63,33,reparacion e instalacion de maquinaria y equipo
331201,331201 - Reparación de maquinaria agropecuaria y forestal,63,33,reparacion e instalacion de maquinaria y equipo
331202,"331202 - Reparación de maquinaria metalúrgica, para la minería, extracción de petróleo y para la construcción",63,33,reparacion e instalacion de maquinaria y equipo
331203,"331203 - Reparación de maquinaria para la elaboración de alimentos, bebidas y tabaco",63,33,reparacion e instalacion de maquinaria y equipo
331204,"331204 - Reparación de maquinaria para producir textiles, prendas de vestir, artículos de cuero y calzado",63,33,reparacion e instalacion de maquinaria y equipo
331209,331209 - Reparación de otro tipo de maquinaria y equipos industriales n.c.p.,63,33,reparacion e instalacion de maquinaria y equipo
331301,"331301 - Reparación de equipo de medición, prueba, navegación y control",63,33,reparacion e instalacion de maquinaria y equipo
331309,331309 - Reparación de otros equipos electrónicos y ópticos n.c.p.,63,33,reparacion e instalacion de maquinaria y equipo
331400,331400 - Reparación de equipo eléctrico (excepto reparación de equipo y enseres domésticos),63,33,reparacion e instalacion de maquinaria y equipo
331501,"331501 - Reparación de buques, embarcaciones menores y estructuras flotantes",63,33,reparacion e instalacion de maquinaria y equipo
331502,331502 - Reparación de aeronaves y naves espaciales,63,33,reparacion e instalacion de maquinaria y equipo
331509,"331509 - Reparación de otros equipos de transporte n.c.p., excepto vehículos automotores",63,33,reparacion e instalacion de maquinaria y equipo
331900,331900 - Reparación de otros tipos de equipo,63,33,reparacion e instalacion de maquinaria y equipo
332000,332000 - Instalación de maquinaria y equipos industriales,63,33,reparacion e instalacion de maquinaria y equipo
351011,351011 - Generación de energía eléctrica en centrales hidroeléctricas,64,351,generacion de electricidad
351012,351012 - Generación de energía eléctrica en centrales termoeléctricas,64,351,generacion de electricidad
351019,351019 - Generación de energía eléctrica en otras centrales n.c.p.,64,351,generacion de electricidad
351020,351020 - Transmisión de energía eléctrica,65,351020,transmision de electricidad
351030,351030 - Distribución de energía eléctrica,66,351030,distribucion de electricidad
352010,352010 - Regasificación de gas natural licuado (GNL),67,352,suministro de gas
352020,"352020 - Fabricación de gas; distribución de combustibles gaseosos por tubería, excepto regasificación de GNL",67,352,suministro de gas
353001,353001 - Suministro de vapor y de aire acondicionado,67,353,suministro de vapor y aire acondicionado
353002,353002 - Elaboración de hielo (excepto fabricación de hielo seco),67,353,suministro de vapor y aire acondicionado
360000,"360000 - Captación, tratamiento y distribución de agua",68,360,captacion tratamiento y distribucion de agua
370000,370000 - Evacuación y tratamiento de aguas servidas,69,370,evacuacion de aguas residuales
381100,381100 - Recogida de desechos no peligrosos,69,38,recogida tratamiento y recuperacion de desechos
381200,381200 - Recogida de desechos peligrosos,69,38,recogida tratamiento y recuperacion de desechos
382100,382100 - Tratamiento y eliminación de desechos no peligrosos,69,38,recogida tratamiento y recuperacion de desechos
382200,382200 - Tratamiento y eliminación de desechos peligrosos,69,38,recogida tratamiento y recuperacion de desechos
383001,383001 - Recuperación y reciclamiento de desperdicios y desechos metálicos,69,38,recogida tratamiento y recuperacion de desechos
383002,383002 - Recuperación y reciclamiento de papel,69,38,recogida tratamiento y recuperacion de desechos
383003,383003 - Recuperación y reciclamiento de vidrio,69,38,recogida tratamiento y recuperacion de desechos
383009,383009 - Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,69,38,recogida tratamiento y recuperacion de desechos
390000,390000 - Actividades de descontaminación y otros servicios de gestión de desechos,69,390,descontaminacion
410010,410010 - Construcción de edificios para uso residencial,70,410010,edificios residenciales
410020,410020 - Construcción de edificios para uso no residencial,71,410020,edificios no residenciales
